Item!sku!Precio!nombre
0!19BTCP12120!1!BATERIA 12AH 12VDC
1!19BTCP1270!2!BATERIA 7AH 12VDC
2!19BTCP1290!3!BATERIA 9AH 12VDC
3!19ON-GXT5-WEBC!4!NETCARD
4!19ON-SNMP-MTPLUS-MEGATEC!5!NETCARD
5!19TREXM-PARALEL-CABLE!6!CABLE PARALELISMO EXM
6!19TRREDTNXR!7!NETCARD UNITY-DP
7!19VC-WEBCARD-AA-DATAMATE!8!NETCARD AA DATAMATE
8!19VC-CRV-10TR-208!9!AA INROW 10TR DX 3F
9!19BTCP12120!10!BATERIA 12AH 12VDC
10!19BTCP1270!11!BATERIA 7AH 12VDC
11!19BTCP1290!12!BATERIA 9AH 12VDC
12!19ON-GXT5-WEBC!13!NETCARD
13!19ON-SNMP-MTPLUS-MEGATEC!14!NETCARD
14!19TREXM-PARALEL-CABLE!15!CABLE PARALELISMO EXM
15!19TRREDTNXR!16!NETCARD UNITY-DP
16!19VC-WEBCARD-AA-DATAMATE!17!NETCARD AA DATAMATE
17!19OFPSL-1000-120!18!UPS OF 5MIN 1KVA 1F 120VAC
18!19OFPSL-1500-120!19!UPS OF 5MIN 1,5KVA 1F 120VAC
19!19OFPSL-2000-120!20!UPS OF 5MIN 2KVA 1F 120VAC
20!19ON-GXT-1000LMTPLUS!21!UPS ON 6MIN 1KVA 1F 120VAC
21!19ON-GXT-1500LMTPLUS!22!UPS ON 6MIN 1,5KVA 1F 120VAC
22!19ON-GXT-2000LMTPLUS!23!UPS ON 6MIN 2KVA 1F 120VAC
23!19ON-GXT-3000LMTPLUS!24!UPS ON 6MIN 3KVA 1F 120VAC
24!19ON-GXT5-10000RT208!25!UPS ON 3MIN 10KVA 2F 208VAC
25!19ON-GXT5-1000RT120!26!UPS ON 6MIN 1KVA 1F 120VAC
26!19ON-GXT5-15000RT208!27!UPS ON 5MIN 15KVA 2F 208VAC
27!19ON-GXT5-1500RT120!1!UPS ON 5MIN 1,5KVA 1F 120VAC
28!19ON-GXT5-20000RT208!2!UPS ON 5MIN 20KVA 2F 208VAC
29!19ON-GXT5-2000RT120!3!UPS ON 3MIN 2KVA 1F 120VAC
30!19ON-GXT-1000LMTPLUS!4!UPS ON 6MIN 1KVA 1F 120VAC
31!19ON-GXT-1500LMTPLUS!5!UPS ON 6MIN 1,5KVA 1F 120VAC
32!19ON-GXT-2000LMTPLUS!6!UPS ON 6MIN 2KVA 1F 120VAC
33!19ON-GXT-3000LMTPLUS!7!UPS ON 6MIN 3KVA 1F 120VAC
34!19ON-GXT5-10000RT208!8!UPS ON 3MIN 10KVA 2F 208VAC
35!19ON-GXT5-1000RT120!9!UPS ON 6MIN 1KVA 1F 120VAC
36!19ON-GXT5-15000RT208!10!UPS ON 5MIN 15KVA 2F 208VAC
37!19ON-GXT5-1500RT120!11!UPS ON 5MIN 1,5KVA 1F 120VAC
38!19ON-GXT5-20000RT208!12!UPS ON 5MIN 20KVA 2F 208VAC
39!19ON-GXT5-2000RT120!13!UPS ON 3MIN 2KVA 1F 120VAC
40!19ON-GXT-1000LMTPLUS!14!UPS ON 6MIN 1KVA 1F 120VAC
41!19ON-GXT-1500LMTPLUS!15!UPS ON 6MIN 1,5KVA 1F 120VAC
42!19ON-GXT-2000LMTPLUS!16!UPS ON 6MIN 2KVA 1F 120VAC
43!19ON-GXT-3000LMTPLUS!17!UPS ON 6MIN 3KVA 1F 120VAC
